,jaso
2745,ㅇㅏㅅㅣㅇㅏㅇㅣㄴㅅㅔㄱㅖㅈㅣㄷㅗㄱㅜㄱㄱㅏㄹㅗㅁㅣㄱㅜㄱㅇㅝㄴㅎㅐㅈㅜㅇㄱㅜㄱㅇㅡㄴㅃㅜㄴㅊㅜㄹㅊㅓㅇㅕㄴㅎㅏㅂㄴㅠㅅㅡㄴㅔㅇㅣㅂㅓㄴㅠㅅㅡㄴㅡㄱㅡㅇㅣㄴㅣㅁㅜㄴㅈㅐㅇㅏㅇㅇㅡㄴㅈㅜㅇㄱㅜㄱㅇㅣㄱㅔㅆㄴㅔ
2746,ㅅㅗㄹㄴㅣㅁㅇㅣㅅㅗㅁㅐㄴㅓㅎㄱㅣㄹㅡㄹㅇㅝㄴㅎㅏㄴㅓㅂㅗ
2747,ㅅㅜㄹㅇㅡㄴㅁㅏㅅㅕㅆㅈㅣㅁㅏㄴ
2748,ㅇㅐㄴㄷㅣㅍㅣㄹㅁㅗㅇㅣㄹㄷㅏㄴㅁㅗㅅㅂㅗㄹㄱㅓㄹㅈㅓㄴㅈㅔㄹㅗㅎㅏㅁ
2749,ㅇㅡㅁㄱㅡㄹㅓㅁㅕㄴㅈㅏㅅㅣㄴㅇㅣㄱㅕㄲㅇㅡㄴㅈㅗㅈㅣㄱㅇㅢㅂㅜㄹㅎㅏㅂㄹㅣㅅㅓㅇㅇㅡㄹㅂㅐㄹㅗㄴㅡㄹㄹㅕㅈㅜㄴㅡㄴㅂㅏㅇㅂㅓㅂㅇㅣ
2750,ㄷㅏㄲㅓㅈㅣㄹㅏㄱㅗㅅㅗㄹㅣㅈㅣㄹㅡㄴㅈㅓㄱㄷㅗㅁㅏㄴㅎㅇㅡㅁ
2751,ㅇㅑㅇㅇㅐㅊㅟㄹㅏㅅㅓㅇㅛ
2752,ㅇㅕㄱㅅㅣㄴㅓㅁㅜㄴㅡㅈㄱㅔㅈㅏㅆㄴㅏㅂㅘ
2753,ㅈㅏㄴㅔㅌㅡㅇㅛㅈㅏㄴㅔㅌㅡ
2754,ㄴㅔㄱㅡㄹㅓㅎㅅㅡㅂㄴㅣㄷㅏㄱㅘㅇㅂㅗㄱㅈㅓㄹㅇㅡㄹㄱㅣㄴㅕㅁㅎㅏㄱㅣㅇㅟㅎㅐㅎㅏㄴㄱㅜㄱㅇㅣㄴㅇㅣㄴㅈㅓㄴㅡㄴㅈㅏㅊㅔㄱㅗㅇㅎㅠㅇㅣㄹㅇㅡㄹㄱㅏㅈㄱㅗㅇㅣㅆㅇㅓㅇㅛ
2755,ㅆㅣㅇㅔㄴㅂㅡㄹㄹㅜㅈㅓㅇㅇㅛㅇㅎㅘㅇㅏㄹㅔㄴㅏㅌㅜㅇㅓㄷㅗㅎㅘㅇㅣㅌㅣㅇ
2756,ㅁㅓㅇㅇㅠㄹㅕㅇㅇㅣㄴㄷㅔ
2757,ㅇㅐㄱㅅㅕㄴㄱㅏㅁㅇㅣㄱㅓㄹㄴㅓㅁㅜㅈㅗㅎㅇㅏㅎㅐㅅㅓㄱㅔㅇㅣㅁㅇㅡㄹㅈㅏㄹㄴㅏㄱㅏㄴㄷㅏㄱㅗㅈㅐㅁㅣㅆㅇㅓㅎㅏㄱㅗㄱㅡㄹㅓㅈㅣㄷㅗㅇㅏㄴㅎㄱㅗㅅㅏㅇㅣㅍㅓㅈㅡㄱㅏㅌㅇㅡㄴㅇㅐㄱㅅㅕㄴㄱㅏㅁㅇㅔㄴㅓㅁㅜㅅㅣㅁㅊㅟㅎㅐㅇㅣㅆㄷㅓㄴㄴㅏㅁㅓㅈㅣㄴㅏㄴㅡㄴㅁㅜㄹㄹㅗㄴㅇㅣㄱㅗㅁㅏㅈㅓㅆㅏㄱㅡㄹㅣㄷㅏㄴㅓㅁㅜㅈㅐㅁㅣㅇㅓㅂㅅㄷㅓㄹㅏㄱㅡㄴㅏㅁㅏㅋㅡㄹㄹㅗㅈㅓㅅㅡㄹㅡㄹㅈㅐㅁㅣㅆㅇㅓㅎㅐㅆㄴㅡㄴㄷㅔㄱㅡㄱㅓㅅㄷㅗㅁㅣㅅㅡㅌㅣㄹㅌㅔㅇㅣㄴㅇㅏㄴㅣㅁㅕㄴㅈㅐㅁㅣㄱㅏㅇㅓㅂㅅㅇㅓㅆㅇㅡㅁㅈㅗㅁㅇㅖㅅㄴㅏㄹㅇㅒㄱㅣㄱㅣㄴㅎㅏㄴㄷㅔㅋㅗㅅㅡㄱ
2758,ㅎㅠㅁㅓㄴㅇㅗㅍㅡㅁㅣㅅㅡㅌㅡ
2759,ㄷㅗㅁㅣㅇㄴㅣㅁㅂㅏㅇㅇㅔㅅㅓㅅㅏㄹㄱㅗㅅㅣㅍ
2760,ㅁㅏㅂㅡㄹㄹㅣㅇㅇㅡㄹㄷㅏㄴㄹㅕㄴㅎㅐㅇㅗㄱㅔㅆㅇㅡㅂㄴㅣㄷㅏㅎㅏㄱㅗㅎㅏㅅㅏㄴㅎㅐㅆㄷㅏㄱㅏㄴㅕㄴㅎㅜㅇㅔㄴㅏㅌㅏㄴㅏㄴㄱㅡㄹㅓㄴㅎㅏㄴㅇㅜㄱㅏㄷㅚㄱㅗㅅㅣㅍㄷㅏ
2761,ㅈㅣㄴㅉㅏㅊㅜㅇㅝㅈㅕㅅㄴㅏㅂㅏㅍㅐㄷㅣㅇㅇㅣㅂㅇㅡㄴㅅㅏㄹㅏㅁㄷㅡㄹㅇㅣㅅㅇㅓ
2762,ㄷㅏㅅㅏㄷㅏㄴㅏㄴㅎㅐㅆㄷㅓㄴㅎㅏㄴㅈㅜㄱㅏㅈㅣㄴㅏㄱㅏㅆㄴㅔㅇㅛㅂㅓㄹㅆㅓㄴㅕㄴㅁㅏㅈㅣㅁㅏㄱㄷㅏㄹㅇㅣㄹㅏㄴㅣㄱㅡㄹㅐㅅㅓㅅㅟㅇㅓㄱㅏㄴㄷㅏㄱㅗㅇㅛㅈㅡㅁㅇㅣㄱㅔㅇㅠㅎㅐㅇㅇㅣㄹㅏㄱㅜㅇㅗㄴㅡㄹㄷㅗㄱㅏㄱㅈㅏㅇㅢㅈㅏㄹㅣㅇㅔㅅㅓㅎㅘㅇㅣㅌㅣㅇㄴㅓㅁㅊㅣㄱㅔㅅㅏㄹㅇㅏㅇㅛㅎㅣㅁㄷㅡㄹㄸㅐㄴㅇㅏㅇㅏㅁㅔㅎㅏㄴㅈㅏㄴ
2763,ㄱㅐㄴㅌㅡㄴㅡㄴㅇㅜㄹㅂㅗㄹㅐㅇㅛ
2764,ㅇㅜㄹㅇㅗㅃㅏㄴㅈㅏㄹㅁㅗㅅㅇㅓㅂㅅㅈㅣㅇㅛ
2765,ㅊㅏㄴㅇㅣㅁㅓㅅㅈㅣㄴㄷㅔ
2766,ㅇㅓㅈㅔㅋㅏㄹㅡㄴㅇㅠㄷㅗㄱㄹㅔㅂㅔㄹㄹㅣㅇㅇㅣㄴㅂㅜㄴㄷㅡㄹㅁㅏㄴㅎㅇㅣㅂㅗㅇㅕㅆㅈㅑ
2767,ㄱㅡㄴㅑㅇㄴㅏㅇㅘㅆㅇㅓ
2768,ㄷㅓㅅㅣㅁㅎㅐㅈㅣㄴㄱㅓㅊㅣㄴㅅㅜㅁㅅㅗㄹㅣㅇㅔㄴㅓㅁㄴㅏㄱㅓㄱㅈㅓㅇㄷㅚㄱㅏㅈㅣㄱㅗㅁㅜㄴㅇㅡㄹㅊㅑㄱㅇㅕㄹㅇㅓㅂㅓㄹㅣㅁㄷㅜㄹㅇㅣㄷㅗㅇㅅㅣㅇㅔㄴㅜㄴㅁㅏㅈㅜㅊㅕㅅㅓㅊㅑㄴㅎㅎㅣㄴㅓㅁㅜㅁㅏㄹㅎㅏㄹㅕㄷㅓㄴㄸㅐㅇㅜㄴㅈㄹㅗㄴㅗㄹㄹㅏㅅㅓㅇㅏㅆㅣㅂㅏㄹㅎㅏㅁㅕㅃㅏㄹㄹㅣㅁㅜㄴㄷㅏㄷㅇㅡㅁㅇㅜㄴㅈㄹㅗㄴㅡㄴㅇㅓㅁㅊㅓㅇㄴㅗㄹㄹㅏㅆㅇㅡㅁㅊㅑㄴㅎㅎㅣㄱㅏㅇㅗㅁㅔㄱㅏㅇㅕㅆㄷㅏㄴㅣㅂㅔㅌㅏㅇㅏㄴㅣㅇㅕㅆ
2769,ㅇㅜㄹㅣㅇㅏㅇㅣㄹㅣㅂㅈㅗㅁㅂㅏㄹㄹㅏㅈㅜㅅㅔㅇㅛㅁ
2770,ㄱㅡㄹㅓㄱㅗㅂㅗㄴㅣㅎㅘㅇㅔㄴㄷㅣㅇㅋㅓㅅㅇㅔㅅㅓㅇㅣㅁㅏㅇㅛㅅㅣㅇㅘㄴㅌㅔㅁㅣㄷㅗㄹㅣㅁㅏㅂㅏㄴㅌㅔㅎㅠㄱㅏㅁㅜㅌㅔㅇㅣㄴㄱㅏㅋㅇㅏㄴㄱㅕㅇㄷㅗㄴㅏㄹㅡㅁㄱㅐㅅㅓㅇㅇㅣㅇㅣㅆㄱㅜㅁㅏㄴ
2771,ㅎㅜㄹㄹㅠㅇㅎㅏㄴㄲㅗㅇㅈㅟㄱㅗㅇㅈㅣㅇㅕㅇㄱㅡㅂㅜㄴㅇㅡㄴㅎㅡㄹㅡㅁㅇㅡㄹㅌㅏㄴㅡㄴ
2772,ㅇㅏㅅㅣㅇㅗㄴㅡㄹㅇㅕㄱㅝㄴㅁㅏㄴㄷㅡㄹㄹㅐㅆㄴㅡㄴㄷㅔㅇㅏㅈㅣㄱㄱㅜㄴㅇㅣㄴㅇㅣㄹㅏㅇㅏㅇㄷㅚㄴㅏㅂㅗㄷㅏ
2773,ㅎㅓㄹㅇㅓㄸㅓㅎㄱㅔㄷㅐㄱㅣㅅㅣㄹㅇㅔㅅㅓㅈㅏㄹㅅㅜㅇㅣㅆㅇㅓㄷㅏㅇㅣㅇㅏㅁㅣㄴㅍㅖㄴㅔ
2774,ㅇㅙㄱㅡㄹㅓㅎㄱㅔㄸㅏㅁㅇㅡㄹㅎㅡㄹㄹㅣㅈㅣㅇㅣㅇㅓㅁㄷㅗㅇㅅㅓㄹㅎㅏㄴㅇㅔ
2775,ㅇㅏㄴㅈㅓㄴㅎㅏㄴㅁㅔㅇㅣㅈㅓㄴㅗㄹㅇㅣㅌㅓㅇㅏㄴㅈㅓㄴㅌㅗㅅㅏㅌㅡㅂㅏㅇㅁㅜㄴㅅㅓㄹㅇㅏㄴㅈㅓㄴㄱㅗㅇㅇㅝㄴㅈㅜㅅㅗㅇㅏㄴㅈㅓㄴㅎㅏㄴㄴㅗㄹㅇㅣㅌㅓㅈㅜㅅㅗㅇㅣㅁㄷㅡㄷㅏㄹㅍㅐㅇㅊㅜㅊㅓㄴㅅㅏㅌㅡ
2776,ㅇㅡㅁㅇㅣㄹㄷㅏㄴㅇㅣㄹㄴㅏㄹㅂㅗㄹㅓㄱㅏㄱㅣㄴㅎㅏㄹㄲㅓㄴㄷㅔㅈㅣㄴㅈㅣㅎㅐㅈㅣㅈㅣㅁㅏㅌㅗㄹㅗㄴㅣㅁㅇㅣㅂㅗㄱㅗㄱㅖㅅㅕ
2777,ㅎㅠㅇㅌㅓㅁㅗㅇㅔ
2778,ㅇㅣㅈㅔㅂㅜㅌㅓㅈㅓㄹㄲㅗㄴㄷㅐㄹㅏㄱㅗㅂㅜㄹㄹㅓㅈㅜㅅㅔㅇㅛㄴㅐㄱㅏㄷㅏㅂㅜㄲㅡㄹㅓㅂㄷㅏㅇㅏㄴㅏㅇㅣㅁㅓㄱㄱㅣㄷㅏㄹㅈㅓㄴ
2779,ㄱㅣㅇㅏㅁㅅㅓㅇㅇㅡㄹㅎㅏㅁㄲㅔㅇㅣㄹㄱㅇㅡㅁㅕㄴㄷㅚㄹㄱㅓㅅㅇㅣㅇㅏㄴㅣㄴㄱㅏ
2780,ㅁㅏㅊㅣㅁㅅㅣㅎㅓㅁㄷㅗㅎㅐㅂㅗㄱㅗㅅㅣㅍㅇㅓㅆㄴㅡㄴㄷㅔㅁㅏㄹㅇㅣㅈㅣ
2781,ㅎㅡㅇㅔㅇㅇㅏㄴㅑㄴㅓㅁㅜㄴㅓㅁㅜㄱㅣㅃㅓㅅㅏㄹㅏㅇㅎㅐㄲㅗㄱㄴㅏㄹㅡㄹㄱㅖㅅㅗㄱㅅㅡㅌㅗㅋㅣㅇㅎㅐㅈㅝ
2782,ㄱㅡㄹㅐㅇㅛㅎㅜㄹㄹㅠㅇㅎㅏㄴㅇㅏㅈㅓㅆㅣㄱㅏㄷㅚㅅㅓㄷㅗㄹㅇㅏㅇㅗㄴㅡㄴㄱㅓㅇㅑ
2783,ㅇㅓㄸㅓㅎㄱㅔㄲㅡㅌㅈㅏㅇㅇㅡㄹ
2784,ㅈㅣㄹㅏㄹㅁㅏㅈㅇㅡㄴㄱㅕㅇㅎㅓㅁㅇㅡㄹㅁㅏㄴㅎㅇㅣㅎㅐㅅㅓㅈㅐㅁㅣㅇㅣㅆㅇㅡㅁ
2785,ㅈㅓㄱㅓㅂㅓㄹㅡㅅㅇㅣㄴㄷㅔㅈㅗㅅㅣㅁㅎㅐㅇㅑㄱㅔㅆㄷㅏ
2786,ㄹㅏㅇㅇㅣㅇㅓㅈㅔㅂㅗㅇㅣㄹㄹㅓㅈㅗㅁㅌㅡㄹㅇㅓㅅㄷㅏㄱㅗㄱㅕㄸㅏㅁㄴㅏㄷㅓㄴㄱㅓㅇㅣㅈㅇㅡㄹㅅㅜㅇㅓㅂㅅㅇㅓ
2787,ㅇㅛㅈㅡㅁㅇㅡㄴㅂㅏㅃㅡㄴㅇㅣㄹㅇㅣㅇㅓㅂㅅㅇㅓㅅㅓㅊㅜㄹㄱㅡㄴㅎㅐㅅㅓㄷㅗㅎㅏㄴㄱㅏㅎㅏㄷㅏㅎㅏㄴㄱㅏㅎㅏㄴㅣㄲㅏㄴㅅㅣㄱㅏㄴㅇㅣㄴㅓㅁㅜㅇㅏㄴㄱㅏㅇㅗㄴㅡㄹㅇㅡㄴㅁㅝㄹㅎㅏㅁㅕㄴㅅㅓㅎㅏㄹㅜㄹㅡㄹㅂㅗㄴㅐㅂㅗㄹㄲㅏ
2788,ㅇㅣㄹㅉㅣㄱㅇㅣㄹㅇㅓㄴㅏㅁㅕㄴㅇㅙㄴㅈㅣㅁㅗㄹㅡㄱㅔㄱㅣㅂㅜㄴㅇㅣㅈㅗㅎㄷㅓㄹㅏㄱㅗㅇㅛㅈㅓㄴㅡㄴㅇㅣㅈㅔㄴㅐㄹㅕㄱㅏㅅㅓㅁㅏㅅㅇㅣㅆㄴㅡㄴㄱㅓㅁㅓㄱㅇㅡㄹㅓㄱㅏㄹㄲㅓㄴㄷㅔㅅㅓㄴㅂㅐㄴㅡㄴㅇㅣㅁㅣㅅㅣㄱㅅㅏㅎㅏㅅㅕㅆㄴㅏㅇㅛㄷㅏㅇㅅㅣㄴㅇㅡㄹㅂㅗㅁㅕ
2789,ㄴㅗㄹㄹㅏㅈㅣㄴㅇㅏㄴㅎㅇㅏㅆㅇㅓㅇㅝㄴㅏㄱㄱㅏㅇㅅㅣㅁㅈㅏㅇㅇㅣㄷㅏㅂㅗㄴㅣ
2790,ㅍㅕㅇㅂㅓㅁㅎㅏㄴㅂㅗㅁㄴㅏㄹㅆㅣㅇㅣㄹㅃㅜㄴㅇㅣㅂㄴㅣㄷㅏㅇㅏㄴㅅㅣㅁㅎㅏㄱㅗㅇㅚㄱㅡㄴㄱㅘㅇㅕㅇㅇㅓㅂㅇㅔㅈㅗㅇㅅㅏㅎㅏㅅㅣㅂㅅㅣㅇㅗ
2791,ㅈㅓㄱㄷㅏㅇㅎㅏㄴㅎㅗㅇㅡㅇㅂㅓㅂㅇㅡㄹㅇㅣㄱㅎㅣㄹㅏㄴㅡㄴㄱㅔㄱㅏㅈㅏㅇㅅㅟㅇㅜㄴㅂㅏㅇㅂㅓㅂㅇㅣㄴㄷㅔㄹㅣㅇㅐㄱㅅㅕㄴㅎㅐㅆㄷㅓㄴㅁㅏㄹㅂㅏㄴㅂㅗㄱㅎㅐㅈㅜㅁㅕㄴㅅㅓㄴㅏㅈㅣㄱㅡㅁㄷㅏㅇㅅㅣㄴㅁㅏㄹㄷㅡㄷㄱㅗㅇㅣㅆㅇㅓㅇㅛㅎㅏㄴㅡㄴㅌㅣㄹㅡㄹㄴㅐㄴㅡㄴㄱㅓㄴㄷㅔㅇㅣㄱㅓㅅㄷㅗㅅㅗㄹㅈㅣㄱㅎㅣㅊㅓㅇㅡㅁㅎㅏㄴㅡㄴㅅㅏㄹㅏㅁㅇㅡㄴㅇㅓㅅㅐㄱㅎㅏㄴㅌㅣㄱㅏㅍㅜㅇㄱㅕㅈㅕㄴㅏㅇㅗㄴㄷㅏㄱㅡㄹㅐㄷㅗㅁㅝㄱㅖㅅㅗㄱㅎㅐㅇㅑㅈㅣㅎㅐㅂㅘㅇㅑㄴㅡㄹㅈㅣㅁㅏㅂㅣㄴㅗㄱㅣㅅㅐㅇㅎㅘㄹㅈㅣㄱㄹㅐㅇㅋㅡㄷㅗㅂㅏㄴㅂㅗㄱㅎㅐㅇㅑㅇㅗㄹㄹㅏㄱㅏㅈㅏㄴㅎㅇㅏ
2792,ㄱㅡㄱㅓㅅㄷㅗㄴㅐㄱㅏㅈㅓㄱㅇㅢㅂㅜㄱㅘㄴㄱㅕㄱㅇㅜㄷㅜㅁㅓㄹㅣㄷㅡㄹㅇㅡㄹㄷㅏㅊㅓㄹㅣㅎㅐㅆㅇㅡㄴㅣㄱㅏㄴㅡㅇㅎㅐㅆㄷㅓㄴㅇㅣㄹㅇㅣㅇㅓㅆㅈㅣㄱㅡㄹㅣㄱㅗㅁㅐㅂㅓㄴㅇㅣㄱㅣㄱㅣㄴㅡㄴㅂㅏㄴㅂㅏㄴㅇㅣㅇㅓㅆㄷㅏ
2793,ㅈㅗㅎㅇㅡㄴㅅㅐㅇㄱㅏㄱㅇㅣㄴㅔㅇㅕ
2794,ㅅㅗㅂㅏㄱㅎㅏㄴㄱㅕㄹㅎㅗㄴㅎㅐㅇㅂㅗㄱㅎㅐㅇㅛㅇㅜㄹㅣ
2795,ㄷㅏㅇㅡㅁㄷㅏㄹㅊㅗㅇㅔㅅㅜㅅㅣㅇㅝㄴㅅㅓㅆㅡㄱㅗㄷㅏㅇㅡㅁㄷㅏㄹㅁㅏㄹㅇㅔㄱㅣㅁㅏㄹㄱㅗㅅㅏㅎㅐㅇㅂㅗㄱㅎㅏㄱㅜㄴ
2796,ㄱㅡㅇㅈㅓㅇㅈㅓㄱㅇㅡㄹㅗㅅㅐㅇㄱㅏㄱㅎㅏㅁㅕㄴㅇㅣㄱㅔㄱㅐㅂㅁㅗㅇㅔㅇㅣㄹㅅㅜㅇㅣㅆㄸㅏㄱㅡㄹㅓㅎㅌㅏㅊㅓㅅㅇㅣㄴㅅㅏㅇㅇㅡㄴㅇㅝㄴㄱㅗㅂㅏㄱㅂㅏㄱㅉㅣㅈㄴㅡㄴㅇㅏㄱㅁㅏㅅㅜㄷㅠㄴㅇㅢㅇㅝㅋㅓㅎㅗㄹㄹㅣㄱㅅㅏㅇㅅㅏㅈㅣㅁㅏㄴㅇㅏㄹㄱㅗㅂㅗㅁㅕㄴㄴㅏㅅㅏㅎㅏㄴㅏㅃㅏㅈㅣㄴㄷㅓㄱㅎㅜ
2797,ㅇㅣㄱㅓㅇㅛㄹㅣㄱㅔㅇㅣㅁㅇㅣㅇㅓㅆㄴㅑㄱㅗ
2798,ㅂㅡㄹㄹㅔㅇㅣㄷㅡ
2799,ㄱㅡㄹㅓㄴㅣㄲㅏㅈㅓㄴㅈㅣㄱㅋㅡㄹㄹㅐㅅㅡㄹㅡㄹㄴㅏㅇㅕㄹㅎㅐㅂㅗㅈㅏㅇㅣㄹㅂㅏㄴㅇㅣㄴㅇㅕㄱㄷㅓㄱㅁㅣㄹㄷㅓㄱㅇㅖㅂㅣㄱㅜㄴㅊㅣㅋㅣㄴㅈㅣㅂㅅㅏㅈㅏㅇㄱㅗㅈㅏ
2800,ㅇㅏㄴㅣ
2801,ㅎㅏㄹㅇㅣㄹㄷㅏㅎㅏㄱㅗㄷㅗㄹㅇㅏㅇㅘㅅㅓㅌㅏㅇㅣㅁㄹㅏㅇㅣㄴㄸㅏㄹㅏㅈㅏㅂㄱㅣㅇㅘㅇㅗㄹㄹㅣㄷㅏㅂㅗㅁㅕㄴㅂㅗㅇㅣㄱㅗㅇㅜㅅㅇㅡㅁㄱㅡㄹㅣㄱㅗㅇㅣㅂㅓㄴㅇㅔㄴㅡㄴㅁㅏㅇㅠㄹㅏㅇㅇㅣㅇㅑㄱㅣㅎㅐㅆㅈㅣ
2802,ㄱㅗㅇㅂㅜㄹㅡㄹㅈㅏㄹㅎㅏㄴㄷㅏㄱㅗㅎㅐㅇㅂㅗㄱㅎㅏㄴㄱㅓㄴㅇㅏㄴㅣㅈㅣㅁㅏㄴㅎㅐㅇㅂㅗㄱㅎㅐㅈㅣㄹㅎㅘㄱㄹㅠㄹㅇㅡㄴㄴㅗㅍㅇㅏㅈㅣㅈㅣ
2803,ㅈㅜㅇㅎㅕㅇㅈㅔㅈㅗㅎㅚㅊㅏㄴㅗㅌㅐㅇㅜ
2804,ㅎㅏㄱㅣㅇㅑㄱㅡㅁㅏㄹㅂㅏㄲㅇㅔㅎㅏㄹㄱㅔㅇㅓㅂㅅㄱㅔㅆㅈㅣㅈㅗㄱㅡㅁㅇㅕㄹㅃㅓㄷㅊㅕㅆㄷㅏㄱㅗㅇㅣㅂㄴㅗㄹㄹㅣㄹㅅㅐㅇㄱㅏㄱㅇㅡㄴㅇㅏㄴㅎㄱㅗㅂㅣㄱㅜㄹㅎㅏㄱㅔㄷㅗㅈㅣㅍㅏㅇㅇㅣㄹㅡㄹㄷㅡㅅㅕㅆㅇㅡㄴㅣ
2805,ㅅㅏㅅㅣㄹㅇㅜㄹㅣㄴㅏㄹㅏㅅㅡㅍㅐㅁㅅㅗㅂㅣㅇㅢㄷㅗㅁㅕㅇㅈㅓㄹㅇㅔㅈㅣㅂㅈㅜㅇㄷㅚㅇㅓㅇㅣㅆㄴㅡㄴㄷㅔㄱㅡㄱㅓㄴㄷㅏㄷㅡㄹㅁㅕㅇㅈㅓㄹㅇㅔㄱㅏㅈㅗㄱㄷㅡㄹㅇㅣㅁㅗㅇㅣㅁㅕㄴㅁㅗㅇㅕㅇㅏㄴㅈㅇㅏㅅㅡㅍㅐㅁㅇㅡㄹㄱㅜㅇㅝㅁㅓㄱㄱㅣㄸㅐㅁㅜㄴㅇㅣㄹㅈㅣㄷㅗㅁㅗㄹㅡㅂㄴㅣㄷㅏ
2806,ㅇㅛㄱㅚㅇㅝㅊㅣㅎㅗㅇㅂㅗㄱㅔㅇㅣㅁㅇㅣㄴㅇㅘㅇ
2807,ㅇㅏㅍㅏㄱㅕㅇㅜㅇㅣㄹㅓㄴㄱㅓㄹㄹㅗ
2808,ㄴㅏㅁㅈㅏㅋㅡㄹㅗㅅㅡㅂㅐㄱㅇㅣㅇㅣㅌㅗㄹㅗㄱㅊㅣㅇㅣㄴㅡㄴㅇㅏㅇㅣㅌㅔㅁㅇㅣㅇㅓㅆㄷㅏㄴㅣㅅㅓㅇㅇㅜㄴㅇㅣㄹㅏㄱㅡㄹㅐㅎㅏㅅㅓㅇㅇㅜㄴㅅㅓㅇㅇㅜㄴ
2809,ㅅㅣㄹㅇㅡㄴㄱㅡㄴㅕㄱㅏㅍㅐㄴㅌㅓㅁ
2810,ㅇㅏㄱㄷㅏㅇㅇㅕㄴㅎㅏㅈㅛㄴㅗㄹㅡㅅㄴㅗㄹㅡㅅㅎㅏㄱㅔㄱㅜㅇㅝㄷㅡㄹㅣㄹㄱㅔㅇㅛ
2811,ㅈㅏㄲㅜㄱㅛㅅㅜㄴㅣㅁㄷㅡㄹㅇㅣㄴㅣㄴㅔㅊㅓㄹㅓㅁㄱㅜㄱㅅㅣㄱㅗㅇㅂㅜㅇㅏㄴㅎㅏㄴㅡㄴㅎㅏㄱㅂㅓㄴㅇㅡㄴㅊㅓㅇㅡㅁㅂㅗㄴㄷㅏㅅㅔㄷㅏㄹㅈㅓㄴㅂㅜㅌㅓㄱㅗㅇㅂㅜㅎㅐㄷㅗㅁㅐㄴㄴㅏㄹㅃㅏㄱㅅㅔㄱㅔㅎㅐㅇㅑㄷㅚㄱㅗㅅㅓㅇㅇㅣㄴㅇㅡㄴㅈㅣㄱㅡㅁㅅㅣㅈㅏㄱㅎㅐㄷㅗㄱㅜㄱㅅㅣㅈㅓㄴㄴㅏㄹㄲㅏㅈㅣㅇㅜㄹㄱㅔㄷㅐㄹㄱㅓㄷㅏㅇㅣㄹㅓㅅㅣㄴㅡㄴㄷㅔㅁㅏㄴㄴㅏㄹㄸㅐㅁㅏㄷㅏㅈㅏㄴㅅㅗㄹㅣㅎㅏㅅㅕㄱㅜㄱㅅㅣㅇㅣㄹㄱㅣㄹㅏㄷㅗㅆㅓㅇㅑㄱㅔㅅㄷㅏㄱㅛㅅㅜㄴㅣㅁㄷㅡㄹㅇㅣㅈㅏㄲㅜㄱㅏㅅㅡㄹㅏㅇㅣㅌㅣㅇㅎㅐㅅㅓㅇㅏㄴㄷㅐㄱㅔㅅㅇㅡㅁ
2812,ㅇㅏㅇㅏㅌㅐㅎㅕㅇㅇㅏ
2813,ㅇㅏㅇㅣㅅㅇㅣㅈㅔㅂㅘㅆㅓㅇㅕㅇㅏㄴㄴㅕㅇㅎㅏㅅㅔㅇㅛㅅㅡㅁㅎㅏㄴㅏㅇㅗㅎㅕㅇㅈㅡㅇㅣㅁㄷㅏ
2814,ㅇㅓㄱㅡㄹㅓㅁㅇㅣㅍㅡㄴㅣㅁㄲㅔㅁㅏㅇㅡㅁㅂㅏㅊㅣㄱㅗㅇㅓㄴㄴㅣㅇㅔㄱㅔㅁㅗㅁㅂㅏㅊㅣㄴㅡㄴㄱㅓㄹㄹㅗ
2815,ㅎㅚㅎㅘㅈㅔㅇㅢㄱㅡㄴㅕㄷㅡㄹㅈㅗㅇㅝㄴㄷㅓㄱㅓㄹㅅㅡ
2816,ㅇㅣㄹㅉㅣㄱㅈㅏㄹㅕㄱㅗㅁㅏㄴㅎㅏㅁㅕㄴㄲㅗㄱㅈㅏㅁㅇㅣㅇㅏㄴㅇㅗㄴㄷㅏㅁㅕㅊㅅㅣㄱㅏㄴㅉㅐㅂㅜㄹㄲㅡㄱㅗㄴㅜㅇㅝㅇㅣㅆㄴㅡㄴㅈㅜㅇㄲㅣㄹㅜㄱㄲㅣㄹㅜㄱㅇㅣㅍㅛㅎㅕㄴㄴㅜㄱㅜㄴㄱㅏㄱㅏㅇㅓㅁㅊㅓㅇㅆㅓㅆㅇㅓㅆㄴㅡㄴㄷㅔㄱㅡㄸㅐㄴㅊㅗㄴㅅㅡㄹㅓㅂㄷㅏㅅㅣㅍㅇㅓㅆㄷㅓㄴㄱㅓㅅㅇㅣㅇㅣㅈㅔㄴㅇㅣㅁㅏㄴㅎㅏㄴㄱㅓㅅㅇㅣㅇㅓㅂㅅㄷㅏㅅㅣㅍㄷㅏㅈㅓㄱㅈㅓㄹㅎㅐㅇㅣㅅㅏㅇㅎㅘㅇㄱㅘ
2817,ㅇㅕㅁㄱㅏㄹㄹㅑㅇㄱㅏㅁㅕㄴㄷㅐㅂㅏㄱㅇㅣㄴㅔ
2818,ㅇㅜㄹㅣㄴㅏㅇㅣㅅㄷㅐㅇㅐㄷㅡㄹㅇㅣㅂㅕㄴㅌㅐㅇㅣㄴㄱㅔㅁㅝㄱㅏㄴㅏㅃㅡㅈㅣ
2819,ㄱㅣㅅㅏㅇㅇㅣㅂㄴㅣㄷㅏ
